ds,yhat,yhat_lower,yhat_upper,y
2020-02-08,24940.791662209173,-120938.8052488337,164822.3762879192,535.0
2020-02-09,12060.12290787253,-133856.45522754997,152253.53103458032,798.0
2020-02-10,-2804.2180662829487,-156724.73286365345,145636.2565439105,1170.0
2020-02-11,-11353.4410267442,-156484.10077516414,136857.21434277974,1572.0
2020-02-12,-13309.15571774164,-161336.496743975,143166.254958458,2068.0
2020-02-13,-11388.800188592897,-147571.33384415752,136187.79480818246,2547.0
2020-02-14,-7272.264866592246,-145821.27868880844,138194.96240492907,3046.0
2020-02-15,-7224.834348717559,-151538.93066574883,152214.18035480153,3170.0
2020-02-16,-9611.0332922198,-152099.7973576305,141322.31135206184,3185.0
2020-02-17,-15046.750680629135,-164528.72296876804,128653.69239420754,3184.0
2020-02-18,-15319.320621984429,-157958.97511139722,134758.82156825362,2859.0
2020-02-19,-10208.089813831728,-164685.73681768728,130790.19141185055,2683.0
2020-02-20,-2459.3163355791185,-148419.76035460047,140510.79005135168,2341.0
2020-02-21,6247.021891211509,-133138.22715632876,154466.22605584623,2086.0
2020-02-22,9673.395619197108,-138729.95389095732,154303.9252798284,1960.0
2020-02-23,9509.310952388973,-131904.21134658324,160461.45787417557,1953.0
2020-02-24,5216.985678532597,-142816.94103005438,149185.63379482983,1959.0
2020-02-25,5108.499868680898,-149474.8378816114,147804.37049833796,2208.0
2020-02-26,9521.968645009008,-134856.27959552832,156522.34260908706,3067.0
2020-02-27,15842.983610816125,-125604.89440505636,159110.44364721808,4281.0
2020-02-28,22533.846344864345,-115744.90907913058,156758.93248898344,5607.0
2020-02-29,23505.590106915362,-120211.70966853965,163904.00916804772,6794.0
2020-03-01,20598.34512738115,-126842.37949259115,169285.52422851312,7825.0
2020-03-02,13422.834679302061,-127365.79403199002,161104.60847293926,8789.0
2020-03-03,10415.679395819665,-131818.46120963473,163675.55899843446,9648.0
2020-03-04,12065.272262367915,-139980.19361700193,153582.03170262685,9787.0
2020-03-05,15876.360786016972,-123213.78354026227,168177.39029274686,9597.0
2020-03-06,20414.16095956377,-127250.91036728598,166850.61700607356,9371.0
2020-03-07,19673.970508984057,-129896.08333256523,180722.66892882375,9233.0
2020-03-08,15559.719254512398,-131992.89358058525,155849.97069806154,9408.0
2020-03-09,7724.287945092336,-130190.43734325164,146773.69984449973,9531.0
2020-03-10,4642.119888809975,-137263.4317799146,135958.9537996333,10463.0
2020-03-11,6781.788970464608,-135992.05251168468,162492.00963803148,12403.0
2020-03-12,11624.859022393706,-127647.943277681,172403.55899319245,15019.0
2020-03-13,17693.61678950253,-131615.33075417392,164995.52015036484,17519.0
2020-03-14,18922.702270167123,-123881.90927137548,157953.24970314442,19809.0
2020-03-15,17140.187669707986,-127933.49180236844,179174.06727376708,21944.0
2020-03-16,11910.855717370461,-140532.4318083211,151583.6332517251,24706.0
2020-03-17,11612.110618268023,-134232.4715977426,167678.5471087333,27137.0
2020-03-18,16610.082559391623,-133919.65713626627,154222.46841219877,28665.0
2020-03-19,24282.153280528903,-121950.98654707677,172872.1972976612,30317.0
2020-03-20,33048.37353505462,-124847.51588819288,176007.86616853077,31566.0
2020-03-21,36746.68485824502,-104474.54299731036,182779.9723675442,33202.0
2020-03-22,37117.38858184515,-108610.08094368609,177065.80546408307,35516.0
2020-03-23,33649.511530089716,-113010.73271894197,188925.77221466653,37748.0
2020-03-24,34659.40796219488,-111199.96271087878,176801.0564370208,40143.0
2020-03-25,40469.07914093457,-101120.84128209377,178330.53186683543,42088.0
2020-03-26,48430.37112211244,-93601.3544491921,191557.1903875958,44432.0
2020-03-27,56957.43596823822,-84143.28168407889,201797.3506235828,46749.0
2020-03-28,59902.51411860896,-93604.9909418541,198572.77968846718,47637.0
2020-03-29,59040.11122340412,-91852.64063345848,204487.37925157373,49304.0
2020-03-30,53912.57955356402,-101734.20644094134,202615.94140323665,51452.0
2020-03-31,52907.289505572815,-93726.55329008301,196533.18456762348,53940.0
2020-04-01,56432.9500211071,-87111.70344818415,203722.15437174172,57343.0
2020-04-02,61941.297232505574,-84646.2858960238,209544.87182156948,59913.0
2020-04-03,67956.64593878918,-82380.70677426533,209611.46379724538,62754.0
2020-04-04,68448.27059371484,-72244.46470378326,216015.3543629637,65151.0
2020-04-05,65311.141986572184,-86274.75175634229,205356.6869354538,67093.0
2020-04-06,58207.77882057935,-81794.0758688152,202873.77292799242,69180.0
2020-04-07,55641.68678566278,-92685.05349388706,202096.3713321842,70820.0
2020-04-08,58130.01915078267,-86326.98285843535,201562.78687493489,72597.0
2020-04-09,63221.78651133616,-84042.93109805981,209669.05183873797,74053.0
2020-04-10,69524.21425795648,-68209.86329536085,208906.4009723759,74208.0
2020-04-11,71072.30976980872,-65228.2640197313,222995.14071012964,74196.0
2020-04-12,69807.25016493851,-71016.03095180915,226582.5534520565,75881.0
2020-04-13,65416.42107737565,-80357.57525698836,203921.57785236486,75105.0
2020-04-14,66405.63493003597,-81761.98338548762,215712.22129037936,74481.0
2020-04-15,73271.20133227675,-70637.28661381255,222916.55323542302,77824.0
2020-04-16,83518.1981946812,-56224.35219366763,241611.22464796304,81932.0
2020-04-17,95687.54358097713,-58989.63990277911,241941.51059426376,88081.0
2020-04-18,103726.91344982566,-43607.328738257835,247888.5649340002,94161.0
2020-04-19,109471.08068944328,-35437.777708641865,257147.5639127878,98514.0
2020-04-20,112484.45330079703,-26148.95828019217,256369.84972571972,103978.0
2020-04-21,121136.27151825198,-19313.42855467239,262288.7133028263,109756.0
2020-04-22,135776.05436006025,-13389.19506619571,279606.5014832528,117056.0
2020-04-23,153755.550361356,11940.805741117738,305011.119323766,125013.0
2020-04-24,173459.69005574787,31457.811738465436,312622.09232573886,137184.0
2020-04-25,188681.47712365014,39124.32000779879,319152.6665596143,147024.0
2020-04-26,201106.28275703936,64935.192732102,338549.8271892993,161132.0
2020-04-27,210158.2106911135,70620.04412085889,370480.1173192925,179348.0
2020-04-28,224078.88629350875,87013.43887469172,385103.7611492012,205935.0
2020-04-29,243106.16023559737,101685.37750901676,386758.30412279593,247755.0
2020-04-30,264498.8913504621,113894.84204974162,411112.01980902604,296903.0
2020-05-01,286570.22886142024,152818.75820747932,433867.0820074777,341481.0
2020-05-02,303064.26636383677,164749.88120922376,442769.3594761,363762.0
2020-05-03,315641.48596066853,172959.4161635004,466039.36225161713,383869.0
2020-05-04,323725.6297936887,179968.64171144803,465970.6561109248,390009.0
2020-05-05,335582.3411482384,187071.79706696726,479654.5131519263,396716.0
2020-05-06,351497.0729675499,200274.718207971,500324.844129109,393152.0
2020-05-07,368798.4541495207,221045.5001719701,513189.1893384757,384506.0
2020-05-08,385889.5764871903,231841.77081485762,540811.6351623237,366519.0
2020-05-09,396622.1351652143,262860.8549480494,533103.8796728055,356719.0
2020-05-10,402778.9140531491,265910.9218169655,553374.6950880269,352199.0
2020-05-11,403917.33975879056,263307.34999136766,550696.584586055,373821.0
2020-05-12,408444.5423833025,262720.2867591664,550324.8828879966,389857.0
2020-05-13,416791.5238180313,272971.6630685533,562997.9680673217,400286.0
2020-05-14,426432.73029365955,284460.4725870439,586469.1122801079,400566.0
2020-05-15,435913.59991778864,281178.45980755397,573419.0304255314,411860.0
2020-05-16,439221.12308936333,298338.2503024093,578654.5213759302,429662.0
2020-05-17,438263.00684869895,287899.02131685644,586469.2306153886,433041.0
2020-05-18,432708.25865352753,284923.0763819973,583565.6421148657,432728.0
2020-05-19,431059.70821014384,287035.0374390001,577841.0214763257,438806.0
2020-05-20,433826.135492167,283006.8735612627,582717.8378888333,442664.0
2020-05-21,438540.3544469117,297788.25765905477,573136.7465694357,451789.0
2020-05-22,443785.85864868027,294897.0452836374,581967.2519323585,452777.0
2020-05-23,443567.0854026001,304340.59931360435,588038.7810112564,447721.0
2020-05-24,439788.88981652097,289417.2793003376,590362.6984207126,447665.0
2020-05-25,432098.02713268955,285138.8224865206,574938.2718619668,428305.0
2020-05-26,428957.12722757115,284702.27520227194,583264.03810615,411191.0
2020-05-27,430818.77902567794,288994.7793033551,584336.3802982139,409086.0
2020-05-28,435146.00912755565,282001.04957634216,584815.170102731,410216.0
2020-05-29,440441.6833513746,289575.4166618828,577508.76812804,414798.0
2020-05-30,440621.79999761493,301771.99481016287,578588.5932364118,413585.0
2020-05-31,437498.1712310242,292879.55485942663,582846.3612478012,411672.0
2020-06-01,430623.1910436107,273462.22472193954,585189.9591470828,432592.0
2020-06-02,428367.0726166286,289447.2949723122,568882.1554147259,447083.0
2020-06-03,431095.07276574685,284185.5186637509,567833.2398446375,448730.0
2020-06-04,436190.89246695896,272067.48439699307,579870.946856836,450187.0
2020-06-05,442088.69394719106,308344.1104623491,580470.0676014345,454345.0
2020-06-06,442648.62495873845,299551.8552335762,583143.0774638557,458651.0
2020-06-07,439641.2804518492,288630.9050196609,588581.0802271856,460854.0
2020-06-08,432593.74817237625,294579.18861802836,580452.925596118,465216.0
2020-06-09,429867.58463391894,287042.3339008526,575417.9643958698,471194.0
2020-06-10,431836.219445645,300835.5472917679,580705.085128377,472612.0
2020-06-11,435907.97446781374,284674.88391615404,576159.3358555313,466642.0
2020-06-12,440557.1530103624,296313.13165646873,590894.1365885432,458451.0
2020-06-13,439698.12100353214,298430.07061522506,595472.6801279236,450736.0
2020-06-14,435167.8575419384,291305.3533813951,570010.404967085,448368.0
2020-06-15,426569.6826286402,285554.7567078191,571598.4974046594,437388.0
2020-06-16,422348.5821865742,278101.2512714552,573705.4619344178,420697.0
2020-06-17,422965.7125203387,275679.2099334949,553812.7460192072,407344.0
2020-06-18,425918.3611795426,270363.280638978,575664.1943408645,401689.0
2020-06-19,429767.91635244666,285663.71716011164,574329.4974035167,396909.0
2020-06-20,428510.864210291,283421.55815898743,565439.9866503763,392698.0
2020-06-21,424058.38847042556,279814.4263632043,568594.0162733854,390315.0
2020-06-22,416077.3727263144,270123.00094307447,574066.4464387884,391606.0
2020-06-23,413063.31155092764,252921.655403693,558350.8196379266,392830.0
2020-06-24,415512.78853073943,269262.47109231557,556915.1349220078,393509.0
2020-06-25,420941.863642325,268589.42162341013,567143.5215913545,388990.0
2020-06-26,427912.9721571758,281338.2955086902,574605.6199526073,395718.0
2020-06-27,430405.3905434116,278144.69330570503,579025.6501169348,399090.0
2020-06-28,430294.86283302295,283059.61988650146,578318.9191017394,405328.0
2020-06-29,427195.19033997384,285734.31708975026,582977.7966384414,422115.0
2020-06-30,429532.276077023,287888.9179024322,574225.2249494005,435286.0
2020-07-01,437718.25075494475,295398.6057359655,581011.7646012143,452057.0
2020-07-02,449171.97586594237,306365.8350372456,587755.8093845968,469642.0
2020-07-03,462348.4648559803,306812.5454932464,610091.58231636,481920.0
2020-07-04,471112.20424685813,324337.7385184297,615805.3432154085,488399.0
2020-07-05,477219.88433132146,327103.5203728158,636405.8800540719,490962.0
2020-07-06,480165.2507683328,345148.78888873255,612783.2419529144,491871.0
2020-07-07,488256.47186351236,344484.8604800943,649236.5700235409,505755.0
2020-07-08,501793.5497926429,363561.3652784785,651670.4176935795,523680.0
2020-07-09,518091.9734947754,382165.4677680528,668674.2969928449,540779.0
2020-07-10,535515.0602239897,393740.83009653445,677316.0018997391,555718.0
2020-07-11,547849.8803354513,408364.45802465064,697585.1423844782,559707.0
2020-07-12,556792.1967291321,416611.6887252307,692795.0090092473,564547.0
2020-07-13,561793.0637852368,413893.1097047173,706711.5921350828,584299.0
2020-07-14,571137.4276294019,438039.9000824,721375.5441650337,604475.0
2020-07-15,585122.2182409209,427720.31107396004,728338.5669403026,621090.0
2020-07-16,601080.1097167744,447503.8863715916,747889.149319812,626130.0
2020-07-17,617411.3913124902,474549.3820108519,763540.1927208514,637591.0
2020-07-18,627958.8565004892,491415.2320076813,769290.1598672951,647154.0
2020-07-19,634491.1710781009,493332.311550714,773845.0904964709,656613.0
2020-07-20,636547.4105773245,487296.58476399706,773829.0071325119,650957.0
2020-07-21,642513.1688126697,496222.40597567183,792400.9958584256,634699.0
2020-07-22,652795.8011996571,511821.58493638254,797674.6721829877,615982.0
