ds,y
2020-02-08,535.0
2020-02-09,798.0
2020-02-10,1170.0
2020-02-11,1572.0
2020-02-12,2068.0
2020-02-13,2547.0
2020-02-14,3046.0
2020-02-15,3170.0
2020-02-16,3185.0
2020-02-17,3184.0
2020-02-18,2859.0
2020-02-19,2683.0
2020-02-20,2341.0
2020-02-21,2086.0
2020-02-22,1960.0
2020-02-23,1953.0
2020-02-24,1959.0
2020-02-25,2208.0
2020-02-26,3067.0
2020-02-27,4281.0
2020-02-28,5607.0
2020-02-29,6794.0
2020-03-01,7825.0
2020-03-02,8789.0
2020-03-03,9648.0
2020-03-04,9787.0
2020-03-05,9597.0
2020-03-06,9371.0
2020-03-07,9233.0
2020-03-08,9408.0
2020-03-09,9531.0
2020-03-10,10463.0
2020-03-11,12403.0
2020-03-12,15019.0
2020-03-13,17519.0
2020-03-14,19809.0
2020-03-15,21944.0
2020-03-16,24706.0
2020-03-17,27137.0
2020-03-18,28665.0
2020-03-19,30317.0
2020-03-20,31566.0
2020-03-21,33202.0
2020-03-22,35516.0
2020-03-23,37748.0
2020-03-24,40143.0
2020-03-25,42088.0
2020-03-26,44432.0
2020-03-27,46749.0
2020-03-28,47637.0
2020-03-29,49304.0
2020-03-30,51452.0
2020-03-31,53940.0
2020-04-01,57343.0
2020-04-02,59913.0
2020-04-03,62754.0
2020-04-04,65151.0
2020-04-05,67093.0
2020-04-06,69180.0
2020-04-07,70820.0
2020-04-08,72597.0
2020-04-09,74053.0
2020-04-10,74208.0
2020-04-11,74196.0
2020-04-12,75881.0
2020-04-13,75105.0
2020-04-14,74481.0
2020-04-15,77824.0
2020-04-16,81932.0
2020-04-17,88081.0
2020-04-18,94161.0
2020-04-19,98514.0
2020-04-20,103978.0
2020-04-21,109756.0
2020-04-22,117056.0
2020-04-23,125013.0
2020-04-24,137184.0
2020-04-25,147024.0
2020-04-26,161132.0
2020-04-27,179348.0
2020-04-28,205935.0
2020-04-29,247755.0
2020-04-30,296903.0
2020-05-01,341481.0
2020-05-02,363762.0
2020-05-03,383869.0
2020-05-04,390009.0
2020-05-05,396716.0
2020-05-06,393152.0
2020-05-07,384506.0
2020-05-08,366519.0
2020-05-09,356719.0
2020-05-10,352199.0
2020-05-11,373821.0
2020-05-12,389857.0
2020-05-13,400286.0
2020-05-14,400566.0
2020-05-15,411860.0
2020-05-16,429662.0
2020-05-17,433041.0
2020-05-18,432728.0
2020-05-19,438806.0
2020-05-20,442664.0
2020-05-21,451789.0
2020-05-22,452777.0
2020-05-23,447721.0
2020-05-24,447665.0
2020-05-25,428305.0
2020-05-26,411191.0
2020-05-27,409086.0
2020-05-28,410216.0
2020-05-29,414798.0
2020-05-30,413585.0
2020-05-31,411672.0
2020-06-01,432592.0
2020-06-02,447083.0
2020-06-03,448730.0
2020-06-04,450187.0
2020-06-05,454345.0
2020-06-06,458651.0
2020-06-07,460854.0
2020-06-08,465216.0
2020-06-09,471194.0
2020-06-10,472612.0
2020-06-11,466642.0
2020-06-12,458451.0
2020-06-13,450736.0
2020-06-14,448368.0
2020-06-15,437388.0
2020-06-16,420697.0
2020-06-17,407344.0
2020-06-18,401689.0
2020-06-19,396909.0
2020-06-20,392698.0
2020-06-21,390315.0
2020-06-22,391606.0
2020-06-23,392830.0
2020-06-24,393509.0
2020-06-25,388990.0
2020-06-26,395718.0
2020-06-27,399090.0
2020-06-28,405328.0
2020-06-29,422115.0
2020-06-30,435286.0
2020-07-01,452057.0
2020-07-02,469642.0
2020-07-03,481920.0
2020-07-04,488399.0
2020-07-05,490962.0
2020-07-06,491871.0
2020-07-07,505755.0
2020-07-08,523680.0
2020-07-09,540779.0
2020-07-10,555718.0
2020-07-11,559707.0
2020-07-12,564547.0
2020-07-13,584299.0
2020-07-14,604475.0
2020-07-15,621090.0
2020-07-16,626130.0
2020-07-17,637591.0
2020-07-18,647154.0
2020-07-19,656613.0
2020-07-20,650957.0
2020-07-21,634699.0
2020-07-22,615982.0
2020-07-23,610429.0
2020-07-24,612905.0
2020-07-25,614915.0
2020-07-26,618492.0
2020-07-27,628048.0
2020-07-28,645325.0
2020-07-29,673109.0
2020-07-30,694358.0
2020-07-31,704480.0
2020-08-01,712506.0
2020-08-02,721480.0
2020-08-03,735766.0
2020-08-04,753681.0
2020-08-05,771883.0
2020-08-06,792236.0
2020-08-07,809075.0
2020-08-08,809554.0
2020-08-09,804301.0
2020-08-10,805265.0
2020-08-11,809237.0
2020-08-12,809612.0
2020-08-13,812650.0
2020-08-14,830119.0
2020-08-15,838907.0
2020-08-16,846297.0
2020-08-17,854406.0
2020-08-18,858547.0
2020-08-19,879283.0
2020-08-20,902991.0
2020-08-21,921080.0
2020-08-22,928354.0
2020-08-23,931556.0
2020-08-24,932523.0
2020-08-25,936938.0
2020-08-26,934817.0
2020-08-27,927034.0
2020-08-28,919528.0
2020-08-29,920523.0
2020-08-30,924741.0
2020-08-31,865812.0
2020-09-01,884248.0
2020-09-02,915432.0
2020-09-03,951206.0
2020-09-04,994956.0
2020-09-05,1017658.0
2020-09-06,1031632.0
2020-09-07,1116844.0
2020-09-08,1127879.0
2020-09-09,1146405.0
2020-09-10,1172875.0
2020-09-11,1201599.0
2020-09-12,1205239.0
2020-09-13,1198304.0
2020-09-14,1177947.0
2020-09-15,1182812.0
2020-09-16,1190066.0
2020-09-17,1190355.0
2020-09-18,1194179.0
2020-09-19,1203415.0
2020-09-20,1229906.0
2020-09-21,1229562.0
2020-09-22,1227031.0
2020-09-23,1233528.0
2020-09-24,1253351.0
2020-09-25,1267139.0
2020-09-26,1270138.0
2020-09-27,1262542.0
